City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
kapaa,75,us,1544331360,55,22.08,-159.32,73.04,24.16
upernavik,76,gl,1544332802,100,72.79,-56.15,8.66,10.11
geraldton,0,au,1544331600,57,-28.77,114.6,77,21.92
novyye gorki,68,ru,1544332808,88,56.73,41.06,17.21,10.18
jamestown,92,sh,1544332554,100,-15.94,-5.72,69.23,17.38
albany,0,au,1544331600,60,-35.02,117.88,68,12.75
punta arenas,75,cl,1544331600,70,-53.16,-70.91,48.2,6.93
half moon bay,20,us,1544331600,87,37.46,-122.43,50.74,4.7
isangel,8,vu,1544332823,100,-19.55,169.27,78.01,22.26
haian,92,cn,1544332826,90,32.53,120.46,42.64,7.27
alofi,92,nu,1544328000,88,-19.06,-169.92,77,11.41
garden city,1,us,1544331360,60,40.73,-73.63,27.36,3.36
itarana,64,br,1544332593,89,-19.87,-40.88,61,7.87
hobart,20,au,1544331600,59,-42.88,147.33,66.2,12.75
lorengau,64,pg,1544332839,100,-2.02,147.27,83.95,7.76
cidreira,0,br,1544332351,72,-30.17,-50.22,63.38,14.88
san felipe,0,mx,1544332843,99,31.02,-114.84,68.24,11.63
college,90,us,1544331480,94,64.86,-147.8,16.29,3.91
iqaluit,75,ca,1544328000,76,63.75,-68.52,-4.01,4.7
rawson,56,ar,1544332852,48,-43.3,-65.11,68.11,21.74
qaanaaq,36,gl,1544332348,96,77.48,-69.36,-5.56,8.43
voskresenskoye,76,ru,1544332859,90,56.84,45.43,19.42,4.03
barranca,32,pe,1544332862,100,-10.75,-77.76,65.18,10.67
kapaa,75,us,1544331360,55,22.08,-159.32,73.04,24.16
tasiilaq,36,gl,1544331000,52,65.61,-37.64,19.4,5.82
kodiak,1,us,1544331300,84,39.95,-94.76,21.33,4.7
margate,92,za,1544332873,98,-30.86,30.37,69.46,10.67
kapaa,75,us,1544331360,55,22.08,-159.32,73.04,24.16
sitka,0,us,1544332878,72,37.17,-99.65,15.28,2.91
rikitea,56,pf,1544332331,100,-23.12,-134.97,76.93,11.45
cayenne,20,gf,1544331600,94,4.94,-52.33,71.6,7.61
barrow,1,us,1544331300,85,39.51,-90.4,19.06,5.82
saint-philippe,0,re,1544331600,45,-21.36,55.77,85.15,5.82
punta arenas,75,cl,1544331600,70,-53.16,-70.91,48.2,6.93
tuktoyaktuk,90,ca,1544330040,84,69.44,-133.03,3.2,17.22
norman wells,20,ca,1544328000,84,65.28,-126.83,8.6,5.82
rikitea,56,pf,1544332331,100,-23.12,-134.97,76.93,11.45
busselton,0,au,1544332242,70,-33.64,115.35,76.84,10.85
salalah,0,om,1544331000,54,17.01,54.1,78.8,2.24
norman wells,20,ca,1544328000,84,65.28,-126.83,8.6,5.82
saint-prosper,0,ca,1544332906,69,46.21,-70.48,-2.1,5.37
jamestown,92,sh,1544332554,100,-15.94,-5.72,69.23,17.38
ribeira grande,8,pt,1544332282,97,38.52,-28.7,65.23,17.72
hobart,20,au,1544331600,59,-42.88,147.33,66.2,12.75
jamestown,92,sh,1544332554,100,-15.94,-5.72,69.23,17.38
port keats,12,au,1544332483,79,-14.25,129.55,91.87,3.91
nuevitas,76,cu,1544331000,94,21.55,-77.27,71.6,3.36
ushuaia,75,ar,1544328000,61,-54.81,-68.31,48.2,5.82
kodiak,1,us,1544331300,84,39.95,-94.76,21.33,4.7
shirokiy,68,ru,1544332928,93,53.87,39.17,18.29,11.07
leningradskiy,44,ru,1544332436,100,69.38,178.42,1.6,17.94
menzelinsk,75,ru,1544331600,92,55.73,53.11,24.8,4.47
rikitea,56,pf,1544332331,100,-23.12,-134.97,76.93,11.45
mount isa,0,au,1544331600,15,-20.73,139.49,100.4,18.34
melo,32,uy,1544332940,53,-32.37,-54.17,57.94,8.95
fortuna,90,us,1544331300,87,40.6,-124.16,52.72,6.93
ulaangom,0,mn,1544332946,55,49.98,92.07,-4.89,0.89
ushuaia,75,ar,1544328000,61,-54.81,-68.31,48.2,5.82
atuona,100,pf,1544332951,100,-9.8,-139.03,80.39,16.33
rikitea,56,pf,1544332331,100,-23.12,-134.97,76.93,11.45
vaini,44,to,1544332450,100,-21.2,-175.2,75.08,18.39
guerrero negro,0,mx,1544332956,92,27.97,-114.04,54.43,6.26
jamestown,92,sh,1544332554,100,-15.94,-5.72,69.23,17.38
tayshet,0,ru,1544332963,69,55.94,98.01,-5.52,2.13
cayenne,20,gf,1544331600,94,4.94,-52.33,71.6,7.61
eyrarbakki,75,is,1544331600,100,63.86,-21.15,32,10.29
bousso,0,td,1544332973,30,10.48,16.71,67.03,9.89
nemuro,75,jp,1544331600,49,43.32,145.57,24.8,8.05
sabang,44,id,1544332977,100,1.17,120.82,82.96,5.26
baykit,68,ru,1544332979,70,61.68,96.39,-16.59,3.8
cidreira,0,br,1544332351,72,-30.17,-50.22,63.38,14.88
saint george,90,bm,1544331300,59,32.38,-64.68,64.4,11.41
rikitea,56,pf,1544332331,100,-23.12,-134.97,76.93,11.45
paita,8,pe,1544332782,94,-5.09,-81.11,64.6,4.14
dongning,48,cn,1544332995,37,44.06,131.12,12.22,9.28
ilulissat,0,gl,1544331000,65,69.22,-51.1,8.6,4.7
yellowknife,5,ca,1544328000,92,62.45,-114.38,10.4,8.05
saint-philippe,0,re,1544331600,45,-21.36,55.77,85.15,5.82
chifeng,24,cn,1544333008,26,42.27,118.96,18.52,3.51
narsaq,44,gl,1544332783,52,60.91,-46.05,3.31,4.07
caravelas,92,br,1544333012,100,-17.73,-39.27,75.26,22.41
buala,44,sb,1544332779,94,-8.15,159.59,83.77,1.57
lazaro cardenas,0,mx,1544333016,83,28.39,-105.62,33.59,2.73
paamiut,56,gl,1544333020,100,61.99,-49.67,28.06,10.07
